collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-17T13:48:49+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T13:48:49+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T13:59:35+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T13:59:35+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T14:25:52+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T14:25:52+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T14:42:35+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T14:42:35+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T14:53:19+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T14:53:19+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T15:15:31+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T15:15:31+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T15:33:53+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T15:33:53+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T15:46:11+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T15:46:11+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T15:57:12+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T15:57:12+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T16:30:49+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
